work_id,standard_score,n_experts
1,0.05590538421080749,3
2,-0.17697115272054909,3
3,0.12141278652010182,4
4,0.5275273670233754,4
5,0.0018911659872298814,3
6,-0.10978828504012855,4
7,0.9010096737388714,4
8,-0.0046224190266651215,3
9,0.024280209336573766,4
10,0.025850548411366803,3
11,-0.46526093996723766,3
12,0.06436140489560016,3
13,-0.5902164666034455,3
14,-0.6933612189140556,3
15,-0.5479811885099358,3
16,-0.3929846997455823,3
17,-0.13704345540143595,3
18,-0.9204488234478622,3
19,-0.7026078871145683,3
20,0.42056433289069767,4
21,-0.13936619788986396,3
22,-0.6774663548184136,3
23,0.20532802134850978,4
24,-0.5904995507315025,3
25,-0.8585972232279214,3
26,-0.5443086420458552,3
27,-0.7005905820011488,3
28,-0.04323535526516592,4
29,-0.44771322981429046,3
30,-0.12936165443122957,4
31,-0.023635462180675654,3
32,-0.6884532809719272,3
33,-0.28918808068144974,4
34,1.0130689036506855,4
35,-0.116714915103875,3
36,-0.3711695732652822,3
37,-0.3896042706105247,3
38,-0.4077533741072999,3
39,-0.39656602936547714,3
40,-0.1850684997242438,4
41,-0.31381639058036526,3
42,-0.24927447223242927,3
43,-0.6247547914685673,3
44,-0.4983473951090343,3
45,-0.284305797412419,3
46,-0.6146171012366949,3
47,-0.6797899944835329,3
48,-0.25635439469971744,3
49,0.10213417954789912,4
50,-0.4518415293344947,3
51,-0.5177940178089556,3
52,0.05197243370635559,4
53,-0.8537565036844669,3
54,-0.10690229799836144,3
55,-0.6356546451574063,3
56,-0.8066069007107108,3
57,-0.633207500136884,3
58,0.010335266021090861,4
59,-0.9747383333266041,3
60,-0.5525488314588148,3
61,-0.6786451093692517,3
62,-0.12231543650224563,3
63,-0.553635919923781,3
64,-0.4025969810714629,3
65,-0.24958875149574292,3
66,0.2775356972864601,4
67,-1.010154338061718,3
68,-0.6469840214377102,3
69,-0.9387190275036875,3
70,-0.1450106988391874,3
71,0.11052814229303026,4
72,-0.7172843877985766,3
73,-0.7846675630109772,3
74,-0.5930541810648335,3
75,-0.4016581850801191,3
76,-0.708262481985976,3
77,-0.8906156843729605,3
78,-0.37191829659635633,3
79,-0.3380114938363484,3
80,-0.9018590324471782,3
81,-0.7964518825957785,3
82,-0.32066010108649984,3
83,-0.32874294047264924,4
84,-0.41630177316109335,3
85,-0.5541523457826407,3
86,-0.26118642639629636,3
87,-0.42318589174018945,3
88,-1.0783035644882528,3
89,-0.2787454776184997,3
90,-0.28490821882252276,3
91,-0.3708686919908156,4
92,-0.6446530333845597,3
93,-0.7988604946324731,3
94,-1.0932752710462854,3
95,-0.5697711195513863,3
96,-1.0848377690890099,3
97,-0.843588181986079,3
98,-0.7562642461521656,3
99,-0.5458529328364549,3
100,-0.9541706827990871,3
101,-0.7103919688845345,3
102,-0.23942304340536102,3
103,0.010600723828706388,4
104,-0.4568500956009256,3
105,-0.5926134272147782,3
106,-0.6232447589331339,3
107,-0.47935086085367873,3
108,-0.8716697068828744,3
109,-0.5360837750776725,3
110,-0.8368199030587165,3
111,-0.5838567852111868,3
112,-0.9398173418446095,3
113,-0.724477076798664,3
114,-0.7510418867514339,3
115,-0.799634244475336,3
116,-0.42689433573492747,3
117,-0.8548170014450513,3
118,-0.8954696424604046,3
119,-0.8197711533026689,3
120,-0.3073695924926682,3
121,-0.06266497958613568,4
122,-0.5824313421517887,3
123,-0.4509514644068758,3
124,-1.0590018111725388,3
125,-0.9735065125603031,3
126,-0.5751912073170324,3
127,-0.6523029840968944,3
128,-0.421924373955296,3
129,-0.5012526936358609,3
130,-0.7155112234358297,3
131,-0.8888902939701985,3
132,-1.010580022283604,3
133,-0.3644787108164909,3
134,-1.0100837024966995,3
135,-0.5548034154477937,3
136,-0.9131098168749275,3
137,0.31854256704568923,4
138,-0.04402629086947314,4
139,-1.1111744100269827,3
140,-0.37211639139428093,3
141,-0.8955859850875852,3
142,-0.9897963579083443,3
143,-1.1731015397902207,3
144,-0.8008646108597094,3
145,-0.6013853685113014,3
146,-0.4495843922049942,3
147,-0.5308991065245184,3
148,-0.9556063835952134,3
149,-0.9015276603482022,3
150,-0.4580830920558349,3
151,-1.2429775233505695,3
152,-0.9944062734798589,3
153,-0.8484521244551595,3
154,-0.8683886473490249,3
155,-0.9634899056587062,3
156,-0.32689269591655695,3
157,-0.8763559118656955,3
158,-0.5410972455916242,3
159,-0.6639255654293286,3
160,-0.8780903627416309,3
161,-1.071797645718462,3
162,-0.5581244076215821,3
163,-0.3397861398976371,3
164,-0.8110705254411498,3
165,-0.4131487742961504,3
166,-0.7188479579509486,3
167,-1.0341464412802,3
168,-0.6199899895207747,3
169,-1.1020700302575126,3
170,-1.1765717100384003,3
171,-0.5739059747109604,3
172,0.4950767801084975,4
173,-0.7098454744616549,3
174,-0.5230375757010004,4
175,-1.0366737526595189,3
176,-1.2232625310678626,3
177,-0.6790366130322302,3
178,-1.091153701631541,3
179,-0.96411255810728,3
180,-0.9589283326025247,3
181,-0.4713889164051281,3
182,-1.1723476386307237,3
183,-0.6898735899376386,3
184,-0.41656238346626395,3
185,-0.568206613959036,3
186,-0.44500037847679547,3
187,-0.4564998532714612,3
188,0.26476530811941384,4
189,-1.0249783865515958,3
190,-0.8251453424676817,3
191,-0.6511264224912635,3
192,-1.0739368544532422,3
193,-1.1115971412098422,3
194,-0.570634943519294,3
195,-0.8934795894588231,3
196,-0.8840669018137763,3
197,-1.2729345625225539,3
198,0.1802271925135775,4
199,-1.20615244122296,3
200,-0.6297427158069433,3
201,-0.7593324084661329,3
202,-0.49979498368460046,3
203,-0.6131911935539515,3
204,-1.0259064599126484,3
205,-0.4588715343285872,3
206,-0.9945647524574551,3
207,-0.4457707983081621,3
208,-1.1474839902486031,3
209,-1.0631921610362083,3
210,-1.1489043917517974,3
211,-0.5883755652147006,3
212,-0.8513216506880609,3
213,-0.5691390780527034,3
214,-0.5012145813592391,3
215,-0.4321586070225445,3
